,City Name,Country Name,Job Code,Job title,Location,Max Salary,Min Salary,OrganizationName,Qualification Summary,State Name
47,"Washington, District of Columbia",United States,0357,Document Analyst,"Washington, District of Columbia",74759.0,47016.0,U. S. Sentencing Commission,"MANDATORY QUALIFICATION REQUIREMENTS:
Applicants must have one year of specialized experience at the next lower grade level which is in or directly related to the line of work of this position, or experience that has equipped the applicant with the particular knowledge, skills, and abilities to successfully perform the duties of this position. Applicants must have excellent analytical and organizational skills. Applicants must have demonstrated work experience related to the mandatory requirements listed below and must address the qualification requirements in an attached cover letter. Knowledge of the types of sentencing documents used in federal criminal cases, the federal sentencing guidelines, and the federal criminal justice system. Ability to handle multiple assignments, focus on details, and produce precise work products in a timely manner to ensure deadlines are met. Knowledge and demonstrated data processing experience and knowledge of data quality assurance procedures. Ability to analyze federal sentencing documents, identify sentencing variables and interpret sentencing information with respect to the way the federal sentencing guidelines were applied in a particular case. Ability to interact successfully with staff at all levels and work effectively as a team member. PREFERRED QUALIFICATIONS:
Preference will be given to applicants with one or more of the following areas of experience: Demonstrated data processing experience. Knowledge of data quality assurance procedures.",
48,"Picatinny Arsenal, New Jersey",United States,0801,Senior Research Scientist (Warheads Technology),"Picatinny Arsenal, New Jersey",176900.0,168165.0,United States Army Futures Command,"Position requires substantial experience and significant scientific contributions related to the scientific disciplines and topic areas described in this position description. Incumbent demonstrates ability to think about issues creatively and with a practical view for applicability to inform policy, programs, and operational needs. Scientific achievements have demonstrated innovation and potential for maturation through applied and advanced technology research. Incumbent has peer-reviewed publications, invited presentations, and held positions with status in DoD/national/international scientific/professional organizations and societies. Incumbent demonstrates expertise as an independent principal investigator/researcher, leading complex programs of research, scientific leadership/mentoring of other scientist, and close collaboration with scientists of various disciplines within DoD, academia, and industry. In order to qualify, you must meet the requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. 1. Specialized Experience is experience closely related to, the field in which the candidate will work. Experience must have been sufficiently specialized to ensure adequate familiarity with the area of specialization, be both nationally and internationally recognized as an authority within the scientific and engineering community, or have direct application in the area for which the applicant is being considered. 2. Technical Qualification (TQ). (Mandatory Submission) A supplemental statement must be submitted separately addressing this TQ. TQ must provide specific examples that address relevant experience end accomplishments. Failure to meet or address the mandatory Technical Qualification automatically disqualifies an applicant from consideration: TQ write up should not exceed 2 pages. Applicants must reflect superior technical qualification demonstrated through leadership and management in the following: Proven pertinent experience in leading the innovative discoveries to develop all forms of lethal and non-lethal warheads with a demonstrated expertise in all fields relating to warhead technology (e.g., warhead mechanics, shock physics, fragmentation analysis, combustion theory, shape charge jet formation, etc). 3. Senior Professional Qualifications (SPQ) (Mandatory Submission)
A supplemental statement must be submitted separately addressing both Senior Professional Qualifications. Applicants must provide specific examples that address relevant experience end accomplishments. Failure to meet or address the mandatory Scientific Professional Technical Qualification automatically disqualifies an applicant from consideration. Limit your responses to 1 page per SPQ. SPQ 1. Ability to establish and maintain effective working relationships with key management, professional and scientific personnel; advise and consult on scientific and technological programs and problems; and, serve as an effective spokesperson for the organization both nationally and internationally.
and
SPQ 2. Stature in the profession as indicated by memberships and activity in professional and scientific societies, honors, awards, and other recognition and leadership in national and international scientific communities. Contributions and professional reputation as evidenced by citations, patents, and/or publications which advance knowledge in the field.",
49,"Picatinny Arsenal, New Jersey",United States,0801,Senior Research Scientist (Warheads Technology),"Picatinny Arsenal, New Jersey",176900.0,168165.0,United States Army Futures Command,"Position requires substantial experience and significant scientific contributions related to the scientific disciplines and topic areas described in this position description. Incumbent demonstrates ability to think about issues creatively and with a practical view for applicability to inform policy, programs, and operational needs. Scientific achievements have demonstrated innovation and potential for maturation through applied and advanced technology research. Incumbent has peer-reviewed publications, invited presentations, and held positions with status in DoD/national/international scientific/professional organizations and societies. Incumbent demonstrates expertise as an independent principal investigator/researcher, leading complex programs of research, scientific leadership/mentoring of other scientist, and close collaboration with scientists of various disciplines within DoD, academia, and industry. In order to qualify, you must meet the requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. 1. Specialized Experience is experience closely related to, the field in which the candidate will work. Experience must have been sufficiently specialized to ensure adequate familiarity with the area of specialization, be both nationally and internationally recognized as an authority within the scientific and engineering community, or have direct application in the area for which the applicant is being considered. 2. Technical Qualification (TQ). (Mandatory Submission) A supplemental statement must be submitted separately addressing this TQ. TQ must provide specific examples that address relevant experience end accomplishments. Failure to meet or address the mandatory Technical Qualification automatically disqualifies an applicant from consideration: TQ write up should not exceed 2 pages. Applicants must reflect superior technical qualification demonstrated through leadership and management in the following: Proven pertinent experience in leading the innovative discoveries to develop all forms of lethal and non-lethal warheads with a demonstrated expertise in all fields relating to warhead technology (e.g., warhead mechanics, shock physics, fragmentation analysis, combustion theory, shape charge jet formation, etc). 3. Senior Professional Qualifications (SPQ) (Mandatory Submission)
A supplemental statement must be submitted separately addressing both Senior Professional Qualifications. Applicants must provide specific examples that address relevant experience end accomplishments. Failure to meet or address the mandatory Scientific Professional Technical Qualification automatically disqualifies an applicant from consideration. Limit your responses to 1 page per SPQ. SPQ 1. Ability to establish and maintain effective working relationships with key management, professional and scientific personnel; advise and consult on scientific and technological programs and problems; and, serve as an effective spokesperson for the organization both nationally and internationally.
and
SPQ 2. Stature in the profession as indicated by memberships and activity in professional and scientific societies, honors, awards, and other recognition and leadership in national and international scientific communities. Contributions and professional reputation as evidenced by citations, patents, and/or publications which advance knowledge in the field.",
50,"Charlottesville, Virginia",United States,0801,"Interdisciplinary(SupervisoryGeneralEngr,GenPhysicalScienc,ElectronicsEngr)","Charlottesville, Virginia",136271.0,104821.0,U.S. Army Intelligence and Security Command,"Who May Apply:
Only applicants who meet one of the employment authority categories below are eligible to apply for this job. You will be asked to identify which category or categories you meet, and to provide documents which prove you meet the category or categories you selected. See Proof of Eligibility for an extensive list of document requirements for all employment authorities. 10-Point Other Veterans? Rating30 Percent or More Disabled Veterans5-Point Veterans' PreferenceCurrent Army Defense Civilian Intelligence Personnel System (DCIPS) EmployeeCurrent Department of Army Civilian EmployeesCurrent DoD Defense Civilian Intelligence Personnel System (DCIPS) Employee (non-Army)Current Permanent Department of Defense (DOD) Civilian Employee (non-Army)Defense Civilian Intelligence Personnel System (DCIPS) Interchange AgreementDisabled Veteran w/ a Service-Connected Disability, More than 10%, Less than 30%Non-Department of Defense (DoD) TransferPrior Federal Service EmployeeUnited States Citizen Applying to a DCIPS Position Army DCIPS positions apply Veteran's Preference to preference eligible candidates as defined by Section 2108 of Title 5 U.S.C., in accordance with the procedures provided in DoD Instruction 1400.25, Volume 2005, DCIPS Employment and Placement. In order to qualify, you must meet the education and or experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. One year of specialized experience equivalent to the GG/GS-13 grade level in the Federal service which includes experience in planning, directing, controlling and conducting research in all-source and other threat analysis. The Engineering and Physical Sciences families have specific educational requirements in addition to meeting the specialized experience requirements above, you must also meet the specific educational requirements for the series that you apply for in order to be considered for this position. The requirements for each series are described in the occupational questionnaire. Transcripts that support these requirements MUST be submitted at the time of application. Note: Education must have been completed in a U.S. college, university, or other educational institution that has been accredited by one of the accrediting agencies or associations recognized by the Secretary, U.S. Department of Education. You will be evaluated on the basis of your level of competency in the following areas:
Administration and Production ManagementIntelligence Production ProcessPartneringProgram ManagementTechnical Credibility",
51,"Fort Rucker, Alabama",United States,0801,General Engineer,"Fort Rucker, Alabama",99741.0,76721.0,Army Installation Management Command,"Who May Apply: US Citizens In order to qualify, you must meet the education and/or experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. Basic Requirement for General Engineer: A. Degree: Bachelor's degree (or higher degree) in engineering. To be acceptable, the program must: (1) lead to a bachelor's degree (or higher degree) in a school of engineering with at least one program accredited by the Accreditation Board for Engineering and Technology (ABET); OR (2) include differential and integral calculus and courses (more advanced than first-year physics and chemistry) in five of the following seven areas of engineering science or physics: (a) statics, dynamics; (b) strength of materials (stress-strain relationships); (c) fluid mechanics, hydraulics; (d) thermodynamics; (e) electrical fields and circuits; (f) nature and properties of materials (relating particle and aggregate structure to properties); and (g) any other comparable area of fundamental engineering science or physics, such as optics, heat transfer, soil mechanics, or electronics. OR B. Combination of Education and Experience: College-level education, training, and/or technical experience that furnished (1) a thorough knowledge of the physical and mathematical sciences underlying engineering, and (2) a good understanding, both theoretical and practical, of the engineering sciences and techniques and their applications to one of the branches of engineering. The adequacy of such background must be demonstrated by one of the following: 1. Professional registration or licensure - Current registration as an Engineer Intern (EI), Engineer in Training (EIT), or licensure as a Professional Engineer (PE) by any State, the District of Columbia, Guam, or Puerto Rico. Absent other means of qualifying under this standard, those applicants who achieved such registration by means other than written test (e.g., State grandfather or eminence provisions) are eligible only for positions that are within or closely related to the specialty field of their registration. For example, an applicant who attains registration through a State Board's eminence provision as a manufacturing engineer typically would be rated eligible only for manufacturing engineering positions. 2. Written Test - Evidence of having successfully passed the Fundamentals of Engineering (FE) examination, or any other written test required for professional registration, by an engineering licensure board in the various States, the District of Columbia, Guam, or Puerto Rico. 3. Specified academic courses - Successful completion of at least 60 semester hours of courses in the physical, mathematical, and engineering sciences and that included the courses specified in A above. The courses must be fully acceptable toward meeting the requirements of an engineering program. 4. Related curriculum - Successful completion of a curriculum leading to a bachelor's degree in an appropriate scientific field, e.g., engineering technology, physics, chemistry, architecture, computer science, mathematics, hydrology, or geology, may be accepted in lieu of a degree in engineering, provided the applicant has had at least 1 year of professional engineering experience acquired under professional engineering supervision and guidance. Ordinarily there should be either an established plan of intensive training to develop professional engineering competence, or several years of prior professional engineering-type experience, e.g., in interdisciplinary positions. In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below: Specialized Experience: One year of specialized experience which includes providing contract management and contract officer's representative responsibilities for a multi-trade construction, maintenance, repair and service contract. Broad professional knowledge of several fields of engineering related to the maintenance and repair of real property assets. Working knowledge of contracting functions and requirements to develop contract Performance Work Statements, Service Contract Agreement packages and contract modification packages. This definition of specialized experience is typical of work performed at the next lower grade/level position in the federal service (GS-11). Some federal jobs allow you to substitute your education for the required experience in order to qualify. For this job, you must meet the qualification requirement using experience alone--no substitution of education for experience is permitted.",
52,"Ukiah, California",United States,0802,Engineering Technician,"Ukiah, California",68777.0,47899.0,Indian Health Service,"To qualify for this position, your resume must state sufficient experience and/or education, to perform the duties of the specific position for which you are applying. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; social). You will receive credit for all qualifying experience, including volunteer and part time experience. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. For positions requiring positive education requirements, or if you are using education to meet all or part of the qualification requirements, you MUST submit a copy of your transcripts or an itemized list of college courses which includes equivalent information from the transcript (course title, semester/quarter hours, and grade/degree earned) in your resume. MINIMUM QUALIFICATIONS:
Your resume must demonstrate at least one (1) year of specialized experience equivalent to at least the next lower grade level in the Federal service obtained in either the private or public sector performing the following type of work and/or tasks: For GS-8, experience including: demonstrates possessing knowledge of and ability in providing civil engineering design and construction monitoring support to engineers for constructions of community water, wastewater and solid waste facilities, and managing water or wastewater services for residential homes in accordance with an organization's regulations and guidelines. For GS-9, experience including: providing civil engineering design and construction monitoring support to engineers for construction of community water, wastewater and solid waste facilities, and managing water and wastewater services for residential homes in accordance with the agency's regulations and guidelines such as from the Environmental Protection Agency. OR Two full years of graduate education or a master's degree meets the requirements for GS-9 in courses directly related to the work of the position. You must meet all qualification requirements within 30 days of the closing date of the announcement. Federal employees in the competitive service are also subject to the Time-In-Grade Requirements: Merit Promotion (status) candidates must have completed one year of service at the next lower grade level. Time-In-Grade provisions do not apply under the Excepted Service Examining Plan (ESEP).",
53,"Ukiah, California",United States,0802,Engineering Technician,"Ukiah, California",68777.0,47899.0,Indian Health Service,"To qualify for this position, your resume must state sufficient experience and/or education, to perform the duties of the specific position for which you are applying. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; social). You will receive credit for all qualifying experience, including volunteer and part time experience. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. For positions requiring positive education requirements, or if you are using education to meet all or part of the qualification requirements, you MUST submit a copy of your transcripts or an itemized list of college courses which includes equivalent information from the transcript (course title, semester/quarter hours, and grade/degree earned) in your resume. MINIMUM QUALIFICATIONS:
Your resume must demonstrate at least one (1) year of specialized experience equivalent to at least the next lower grade level in the Federal service obtained in either the private or public sector performing the following type of work and/or tasks: For GS-8, experience including: demonstrates possessing knowledge of and ability in providing civil engineering design and construction monitoring support to engineers for constructions of community water, wastewater and solid waste facilities, and managing water or wastewater services for residential homes in accordance with an organization's regulations and guidelines. For GS-9, experience including: providing civil engineering design and construction monitoring support to engineers for construction of community water, wastewater and solid waste facilities, and managing water and wastewater services for residential homes in accordance with the agency's regulations and guidelines such as from the Environmental Protection Agency. OR Two full years of graduate education or a master's degree meets the requirements for GS-9 in courses directly related to the work of the position. You must meet all qualification requirements within 30 days of the closing date of the announcement. Federal employees in the competitive service are also subject to the Time-In-Grade Requirements: Merit Promotion (status) candidates must have completed one year of service at the next lower grade level. Time-In-Grade provisions do not apply under the Excepted Service Examining Plan (ESEP).",
54,"Anniston Army Depot, Alabama",United States,0803,Supervisory Safety Engineer,"Anniston Army Depot, Alabama",100008.0,76926.0,Army Tank-Automotive and Armament Command (TACOM),"Who May Apply: US Citizens In order to qualify, you must meet the requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. Basic Requirement for Supervisory Safety Engineer: A. Degree: Bachelor's degree (or higher degree) in engineering. To be acceptable, the program must: (1) lead to a bachelor's degree (or higher degree) in a school of engineering with at least one program accredited by the Accreditation Board for Engineering and Technology (ABET); OR (2) include differential and integral calculus and courses (more advanced than first-year physics and chemistry) in five of the following seven areas of engineering science or physics: (a) statics, dynamics; (b) strength of materials (stress-strain relationships); (c) fluid mechanics, hydraulics; (d) thermodynamics; (e) electrical fields and circuits; (f) nature and properties of materials (relating particle and aggregate structure to properties); and (g) any other comparable area of fundamental engineering science or physics, such as optics, heat transfer, soil mechanics, or electronics. OR B. Combination of Education and Experience: College-level education, training, and/or technical experience that furnished (1) a thorough knowledge of the physical and mathematical sciences underlying engineering, and (2) a good understanding, both theoretical and practical, of the engineering sciences and techniques and their applications to one of the branches of engineering. The adequacy of such background must be demonstrated by one of the following: 1. Professional registration or licensure - Current registration as an Engineer Intern (EI), Engineer in Training (EIT), or licensure as a Professional Engineer (PE) by any State, the District of Columbia, Guam, or Puerto Rico. Absent other means of qualifying under this standard, those applicants who achieved such registration by means other than written test (e.g., State grandfather or eminence provisions) are eligible only for positions that are within or closely related to the specialty field of their registration. For example, an applicant who attains registration through a State Board's eminence provision as a manufacturing engineer typically would be rated eligible only for manufacturing engineering positions. 2. Written Test - Evidence of having successfully passed the Fundamentals of Engineering (FE) examination, or any other written test required for professional registration, by an engineering licensure board in the various States, the District of Columbia, Guam, or Puerto Rico. 3. Specified academic courses - Successful completion of at least 60 semester hours of courses in the physical, mathematical, and engineering sciences and that included the courses specified in A above. The courses must be fully acceptable toward meeting the requirements of an engineering program. 4. Related curriculum - Successful completion of a curriculum leading to a bachelor's degree in an appropriate scientific field, e.g., engineering technology, physics, chemistry, architecture, computer science, mathematics, hydrology, or geology, may be accepted in lieu of a degree in engineering, provided the applicant has had at least 1 year of professional engineering experience acquired under professional engineering supervision and guidance. Ordinarily there should be either an established plan of intensive training to develop professional engineering competence, or several years of prior professional engineering-type experience, e.g., in interdisciplinary positions. In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below Specialized Experience for Supervisory Safety Engineer: One year of specialized experience which includes ; Providing safety engineering services and performs critical, technical safety reviews of plans, drawings, engineering change proposals, and procedures of facility projects to include new construction, modernization, and repair. Proposes and develops new methods and procedures to identify and control hazards when existing guidelines are inadequate or unavailable. You will be evaluated on the basis of your level of competency in the following areas:
Safety Engineering",
55,"Bangor, Washington",United States,0804,INTERDISCIPLINARY ENGINEER/ARCHITECT,"Bangor, Washington",125651.0,96656.0,Naval Facilities Engineering Command,"This position has a Selective Placement Factor for those applying for the Fire Protection Engineer (0804), Architect (0808), Civil Engineer (0810), and/or Mechanical Engineer (0830), Electrical Engineer (0850). The Selective Placement Factor is that applicants must hold a current registration or licensing as a Professional Engineer (PE), or Registered Architect (RA) in a State, the District of Columbia, the Commonwealth of Puerto Rico, or a territory of the United States. In addition to the Selective Placement Factor for this position, your resume must also demonstrate at least one year of specialized experience at or equivalent to the GS-12 grade level or pay band in the Federal service or equivalent experience in the private or public sector performing the following duties: 1) Rendering technical decisions/recommendations on situations, questions, and/or problems relating to scheduling, funding, project coordination, and contract interpretations which could affect the execution of the project; 2) Ensuring statutory costs are not exceeded, and that the letter and intent of authorization and appropriation laws are carried through; 3) Identifying areas of risk associated with design and construction and develops mitigation stratigies or alternatives; 4) Reviewing reports/submissions, and coordinating technical reviews by project technical team and by the activities involved; 5)Providing post construction award services with the technical team on Design Build and Design Bid Build projects. Additional qualification information can be found from the following Office of Personnel Management website:
https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/#url=GS-PROF. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment.",
56,"Philadelphia, Pennsylvania",United States,0806,MATERIALS ENGINEER (MANUFACTURING) (METALS) (PROCESS DEVELOPMENT ENGINEER),Multiple Locations,157709.0,117188.0,U.S. Mint,"You must meet the following requirements by the closing date of this announcement.Specialized experience:For the GS-14, you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-13 grade level in the Federal service. Specialized experience for this position includes: - Leading, implementing and managing continuous process improvements in a manufacturing setting with ferrous or non-ferrous metals; AND - Utilizing Scanning Electron Microscope (SEM) and X-ray Diffraction Spectrometer (XRF) to conduct elemental analyses; AND - Developing six sigma methods to design, analyze and solve multi-variable factor research and development challenges.",
57,"Buffalo, New York",United States,0810,Civil Engineer,"Buffalo, New York",83710.0,43507.0,U.S. Army Corps of Engineers,"This advertisement is for Civil Engineering positions, as well as Civil Engineering positions with the following sub-specialties: Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering. Who May Apply: To be eligible for consideration you must meet the definition of Recent Graduate as defined below: Recent Graduate: a person who was awarded a degree by an institution of higher education not more than two years before the date of the appointment of the applicant. Exception: For a person who has completed a period of obligated service in a uniformed service of more than four years, the degree may be awarded by an institution of higher education not more than four years before the date of the appointment of the applicant. In order to qualify, you must meet the education requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant education and experience. Additional information about transcripts is in this document. Basic Requirement for Civil Engineer Can be viewed here:https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/0800/files/all-professional-engineering-positions-0800.pdf In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below: For the GS-07 Specialized Experience: One year of specialized experience which includes applying basic methods and technical engineering techniques to develop engineering products for civil works projects, specific to the technical discipline under consideration (Civil, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering). Completed engineering curriculum includes coursework specific to the technical discipline under consideration.. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-05). OR Education: One full year of graduate level education in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: Civil Engineer, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering. OR Superior Academic Achievement. In order to be creditable under this provision, Superior Academic Achievement must have been gained in a curriculum that is qualifying for the position to be filled, such as that identified in Education above. Superior Academic Achievement is based on:
(1) Class Standing - Applicants must be in the upper third of the graduating class in the college, university, or major subdivision, such as the College of Liberal Arts or the School of Business Administration, based on completed courses; OR
(2) Grade-Point Average (G.P.A.) - Applicants must have a grade-point average of either (a) 3.0 or higher out of a possible 4.0 (""B"" or better) as recorded on your official transcript, or as computed based on 4 years of education, or as computed based on courses completed during the final 2 years of the curriculum; or (b) 3.5 or higher out of a possible 4.0 (""B+"" or better) based on the average of the required courses completed in the major field or the required courses in the major field completed during the final 2 years of the curriculum.; OR
(3) Honor Society Membership - Applicants may be considered eligible based on membership in one of the approved national scholastic honor societies listed by the Association of College Honor Societies (https://www.achsnatl.org/). OR Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) by 18. Add the two percentages. For the GS-09 Specialized Experience: One year of specialized experience which includes applying advanced methods and technical engineering techniques to develop engineering products for civil works projects, specific to the technical discipline under consideration (Civil, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering). Completed engineering curriculum includes coursework specific to the technical discipline under consideration.. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-07). OR Education: Master's or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to such a degree in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: Civil Engineer, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering. OR Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) beyond the first year (total graduate semester hours minus 18) by 18. Add the two percentages.",
58,"Buffalo, New York",United States,0810,Civil Engineer,"Buffalo, New York",83710.0,43507.0,U.S. Army Corps of Engineers,"This advertisement is for Civil Engineering positions, as well as Civil Engineering positions with the following sub-specialties: Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering. Who May Apply: To be eligible for consideration you must meet the definition of Recent Graduate as defined below: Recent Graduate: a person who was awarded a degree by an institution of higher education not more than two years before the date of the appointment of the applicant. Exception: For a person who has completed a period of obligated service in a uniformed service of more than four years, the degree may be awarded by an institution of higher education not more than four years before the date of the appointment of the applicant. In order to qualify, you must meet the education requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant education and experience. Additional information about transcripts is in this document. Basic Requirement for Civil Engineer Can be viewed here:https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/0800/files/all-professional-engineering-positions-0800.pdf In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below: For the GS-07 Specialized Experience: One year of specialized experience which includes applying basic methods and technical engineering techniques to develop engineering products for civil works projects, specific to the technical discipline under consideration (Civil, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering). Completed engineering curriculum includes coursework specific to the technical discipline under consideration.. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-05). OR Education: One full year of graduate level education in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: Civil Engineer, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering. OR Superior Academic Achievement. In order to be creditable under this provision, Superior Academic Achievement must have been gained in a curriculum that is qualifying for the position to be filled, such as that identified in Education above. Superior Academic Achievement is based on:
(1) Class Standing - Applicants must be in the upper third of the graduating class in the college, university, or major subdivision, such as the College of Liberal Arts or the School of Business Administration, based on completed courses; OR
(2) Grade-Point Average (G.P.A.) - Applicants must have a grade-point average of either (a) 3.0 or higher out of a possible 4.0 (""B"" or better) as recorded on your official transcript, or as computed based on 4 years of education, or as computed based on courses completed during the final 2 years of the curriculum; or (b) 3.5 or higher out of a possible 4.0 (""B+"" or better) based on the average of the required courses completed in the major field or the required courses in the major field completed during the final 2 years of the curriculum.; OR
(3) Honor Society Membership - Applicants may be considered eligible based on membership in one of the approved national scholastic honor societies listed by the Association of College Honor Societies (https://www.achsnatl.org/). OR Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) by 18. Add the two percentages. For the GS-09 Specialized Experience: One year of specialized experience which includes applying advanced methods and technical engineering techniques to develop engineering products for civil works projects, specific to the technical discipline under consideration (Civil, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering). Completed engineering curriculum includes coursework specific to the technical discipline under consideration.. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-07). OR Education: Master's or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to such a degree in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: Civil Engineer, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering. OR Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) beyond the first year (total graduate semester hours minus 18) by 18. Add the two percentages.",
