,Job title,Location,Max Salary,Min Salary,Qualification Summary
10,Engineering Technician,"Ukiah, California",68777.0,47899.0,"To qualify for this position, your resume must state sufficient experience and/or education, to perform the duties of the specific position for which you are applying. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; social). You will receive credit for all qualifying experience, including volunteer and part time experience. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. For positions requiring positive education requirements, or if you are using education to meet all or part of the qualification requirements, you MUST submit a copy of your transcripts or an itemized list of college courses which includes equivalent information from the transcript (course title, semester/quarter hours, and grade/degree earned) in your resume. MINIMUM QUALIFICATIONS:
Your resume must demonstrate at least one (1) year of specialized experience equivalent to at least the next lower grade level in the Federal service obtained in either the private or public sector performing the following type of work and/or tasks: For GS-8, experience including: demonstrates possessing knowledge of and ability in providing civil engineering design and construction monitoring support to engineers for constructions of community water, wastewater and solid waste facilities, and managing water or wastewater services for residential homes in accordance with an organization's regulations and guidelines. For GS-9, experience including: providing civil engineering design and construction monitoring support to engineers for construction of community water, wastewater and solid waste facilities, and managing water and wastewater services for residential homes in accordance with the agency's regulations and guidelines such as from the Environmental Protection Agency. OR Two full years of graduate education or a master's degree meets the requirements for GS-9 in courses directly related to the work of the position. You must meet all qualification requirements within 30 days of the closing date of the announcement. Federal employees in the competitive service are also subject to the Time-In-Grade Requirements: Merit Promotion (status) candidates must have completed one year of service at the next lower grade level. Time-In-Grade provisions do not apply under the Excepted Service Examining Plan (ESEP)."
11,Supervisory Safety Engineer,"Anniston Army Depot, Alabama",100008.0,76926.0,"Who May Apply: US Citizens In order to qualify, you must meet the requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. Basic Requirement for Supervisory Safety Engineer: A. Degree: Bachelor's degree (or higher degree) in engineering. To be acceptable, the program must: (1) lead to a bachelor's degree (or higher degree) in a school of engineering with at least one program accredited by the Accreditation Board for Engineering and Technology (ABET); OR (2) include differential and integral calculus and courses (more advanced than first-year physics and chemistry) in five of the following seven areas of engineering science or physics: (a) statics, dynamics; (b) strength of materials (stress-strain relationships); (c) fluid mechanics, hydraulics; (d) thermodynamics; (e) electrical fields and circuits; (f) nature and properties of materials (relating particle and aggregate structure to properties); and (g) any other comparable area of fundamental engineering science or physics, such as optics, heat transfer, soil mechanics, or electronics. OR B. Combination of Education and Experience: College-level education, training, and/or technical experience that furnished (1) a thorough knowledge of the physical and mathematical sciences underlying engineering, and (2) a good understanding, both theoretical and practical, of the engineering sciences and techniques and their applications to one of the branches of engineering. The adequacy of such background must be demonstrated by one of the following: 1. Professional registration or licensure - Current registration as an Engineer Intern (EI), Engineer in Training (EIT), or licensure as a Professional Engineer (PE) by any State, the District of Columbia, Guam, or Puerto Rico. Absent other means of qualifying under this standard, those applicants who achieved such registration by means other than written test (e.g., State grandfather or eminence provisions) are eligible only for positions that are within or closely related to the specialty field of their registration. For example, an applicant who attains registration through a State Board's eminence provision as a manufacturing engineer typically would be rated eligible only for manufacturing engineering positions. 2. Written Test - Evidence of having successfully passed the Fundamentals of Engineering (FE) examination, or any other written test required for professional registration, by an engineering licensure board in the various States, the District of Columbia, Guam, or Puerto Rico. 3. Specified academic courses - Successful completion of at least 60 semester hours of courses in the physical, mathematical, and engineering sciences and that included the courses specified in A above. The courses must be fully acceptable toward meeting the requirements of an engineering program. 4. Related curriculum - Successful completion of a curriculum leading to a bachelor's degree in an appropriate scientific field, e.g., engineering technology, physics, chemistry, architecture, computer science, mathematics, hydrology, or geology, may be accepted in lieu of a degree in engineering, provided the applicant has had at least 1 year of professional engineering experience acquired under professional engineering supervision and guidance. Ordinarily there should be either an established plan of intensive training to develop professional engineering competence, or several years of prior professional engineering-type experience, e.g., in interdisciplinary positions. In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below Specialized Experience for Supervisory Safety Engineer: One year of specialized experience which includes ; Providing safety engineering services and performs critical, technical safety reviews of plans, drawings, engineering change proposals, and procedures of facility projects to include new construction, modernization, and repair. Proposes and develops new methods and procedures to identify and control hazards when existing guidelines are inadequate or unavailable. You will be evaluated on the basis of your level of competency in the following areas:
Safety Engineering"
12,INTERDISCIPLINARY ENGINEER/ARCHITECT,"Bangor, Washington",125651.0,96656.0,"This position has a Selective Placement Factor for those applying for the Fire Protection Engineer (0804), Architect (0808), Civil Engineer (0810), and/or Mechanical Engineer (0830), Electrical Engineer (0850). The Selective Placement Factor is that applicants must hold a current registration or licensing as a Professional Engineer (PE), or Registered Architect (RA) in a State, the District of Columbia, the Commonwealth of Puerto Rico, or a territory of the United States. In addition to the Selective Placement Factor for this position, your resume must also demonstrate at least one year of specialized experience at or equivalent to the GS-12 grade level or pay band in the Federal service or equivalent experience in the private or public sector performing the following duties: 1) Rendering technical decisions/recommendations on situations, questions, and/or problems relating to scheduling, funding, project coordination, and contract interpretations which could affect the execution of the project; 2) Ensuring statutory costs are not exceeded, and that the letter and intent of authorization and appropriation laws are carried through; 3) Identifying areas of risk associated with design and construction and develops mitigation stratigies or alternatives; 4) Reviewing reports/submissions, and coordinating technical reviews by project technical team and by the activities involved; 5)Providing post construction award services with the technical team on Design Build and Design Bid Build projects. Additional qualification information can be found from the following Office of Personnel Management website:
https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/#url=GS-PROF. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment."
13,MATERIALS ENGINEER (MANUFACTURING) (METALS) (PROCESS DEVELOPMENT ENGINEER),Multiple Locations,157709.0,117188.0,"You must meet the following requirements by the closing date of this announcement.Specialized experience:For the GS-14, you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-13 grade level in the Federal service. Specialized experience for this position includes: - Leading, implementing and managing continuous process improvements in a manufacturing setting with ferrous or non-ferrous metals; AND - Utilizing Scanning Electron Microscope (SEM) and X-ray Diffraction Spectrometer (XRF) to conduct elemental analyses; AND - Developing six sigma methods to design, analyze and solve multi-variable factor research and development challenges."
14,Civil Engineer,"Buffalo, New York",83710.0,43507.0,"This advertisement is for Civil Engineering positions, as well as Civil Engineering positions with the following sub-specialties: Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering. Who May Apply: To be eligible for consideration you must meet the definition of Recent Graduate as defined below: Recent Graduate: a person who was awarded a degree by an institution of higher education not more than two years before the date of the appointment of the applicant. Exception: For a person who has completed a period of obligated service in a uniformed service of more than four years, the degree may be awarded by an institution of higher education not more than four years before the date of the appointment of the applicant. In order to qualify, you must meet the education requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant education and experience. Additional information about transcripts is in this document. Basic Requirement for Civil Engineer Can be viewed here:https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/0800/files/all-professional-engineering-positions-0800.pdf In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below: For the GS-07 Specialized Experience: One year of specialized experience which includes applying basic methods and technical engineering techniques to develop engineering products for civil works projects, specific to the technical discipline under consideration (Civil, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering). Completed engineering curriculum includes coursework specific to the technical discipline under consideration.. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-05). OR Education: One full year of graduate level education in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: Civil Engineer, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering. OR Superior Academic Achievement. In order to be creditable under this provision, Superior Academic Achievement must have been gained in a curriculum that is qualifying for the position to be filled, such as that identified in Education above. Superior Academic Achievement is based on:
(1) Class Standing - Applicants must be in the upper third of the graduating class in the college, university, or major subdivision, such as the College of Liberal Arts or the School of Business Administration, based on completed courses; OR
(2) Grade-Point Average (G.P.A.) - Applicants must have a grade-point average of either (a) 3.0 or higher out of a possible 4.0 (""B"" or better) as recorded on your official transcript, or as computed based on 4 years of education, or as computed based on courses completed during the final 2 years of the curriculum; or (b) 3.5 or higher out of a possible 4.0 (""B+"" or better) based on the average of the required courses completed in the major field or the required courses in the major field completed during the final 2 years of the curriculum.; OR
(3) Honor Society Membership - Applicants may be considered eligible based on membership in one of the approved national scholastic honor societies listed by the Association of College Honor Societies (https://www.achsnatl.org/). OR Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) by 18. Add the two percentages. For the GS-09 Specialized Experience: One year of specialized experience which includes applying advanced methods and technical engineering techniques to develop engineering products for civil works projects, specific to the technical discipline under consideration (Civil, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering). Completed engineering curriculum includes coursework specific to the technical discipline under consideration.. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-07). OR Education: Master's or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to such a degree in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: Civil Engineer, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering. OR Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) beyond the first year (total graduate semester hours minus 18) by 18. Add the two percentages."
15,Civil Engineer,"Buffalo, New York",83710.0,43507.0,"This advertisement is for Civil Engineering positions, as well as Civil Engineering positions with the following sub-specialties: Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering. Who May Apply: To be eligible for consideration you must meet the definition of Recent Graduate as defined below: Recent Graduate: a person who was awarded a degree by an institution of higher education not more than two years before the date of the appointment of the applicant. Exception: For a person who has completed a period of obligated service in a uniformed service of more than four years, the degree may be awarded by an institution of higher education not more than four years before the date of the appointment of the applicant. In order to qualify, you must meet the education requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant education and experience. Additional information about transcripts is in this document. Basic Requirement for Civil Engineer Can be viewed here:https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/0800/files/all-professional-engineering-positions-0800.pdf In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below: For the GS-07 Specialized Experience: One year of specialized experience which includes applying basic methods and technical engineering techniques to develop engineering products for civil works projects, specific to the technical discipline under consideration (Civil, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering). Completed engineering curriculum includes coursework specific to the technical discipline under consideration.. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-05). OR Education: One full year of graduate level education in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: Civil Engineer, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering. OR Superior Academic Achievement. In order to be creditable under this provision, Superior Academic Achievement must have been gained in a curriculum that is qualifying for the position to be filled, such as that identified in Education above. Superior Academic Achievement is based on:
(1) Class Standing - Applicants must be in the upper third of the graduating class in the college, university, or major subdivision, such as the College of Liberal Arts or the School of Business Administration, based on completed courses; OR
(2) Grade-Point Average (G.P.A.) - Applicants must have a grade-point average of either (a) 3.0 or higher out of a possible 4.0 (""B"" or better) as recorded on your official transcript, or as computed based on 4 years of education, or as computed based on courses completed during the final 2 years of the curriculum; or (b) 3.5 or higher out of a possible 4.0 (""B+"" or better) based on the average of the required courses completed in the major field or the required courses in the major field completed during the final 2 years of the curriculum.; OR
(3) Honor Society Membership - Applicants may be considered eligible based on membership in one of the approved national scholastic honor societies listed by the Association of College Honor Societies (https://www.achsnatl.org/). OR Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) by 18. Add the two percentages. For the GS-09 Specialized Experience: One year of specialized experience which includes applying advanced methods and technical engineering techniques to develop engineering products for civil works projects, specific to the technical discipline under consideration (Civil, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering). Completed engineering curriculum includes coursework specific to the technical discipline under consideration.. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-07). OR Education: Master's or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to such a degree in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: Civil Engineer, Coastal, Geotechnical, Structural, Hydraulics &amp; Hydrology, Water Management, and/or Cost Engineering. OR Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) beyond the first year (total graduate semester hours minus 18) by 18. Add the two percentages."
16,"Interdisciplinary (Architect, Civil Engineer, Mechanical Engineer, Electrical Engineer)","Concord, Massachusetts",107542.0,69016.0,"Who May Apply: Only applicants who meet one of the employment authority categories below are eligible to apply for this job. You will be asked to identify which category or categories you meet, and to provide documents which prove you meet the category or categories you selected. See Proof of Eligibility for an extensive list of document requirements for all employment authorities. Current Department of Army Civilian EmployeesCurrent Permanent Department of Defense (DOD) Civilian Employee (non-Army)Domestic Defense Industrial Base/Major Range and Test Facilities Base Civilian Personnel WorkforceInteragency Career Transition Assistance PlanLand Management Workforce Flexibility ActMilitary Spouses, under Executive Order (E.O.) 13473Non-Department of Defense (DoD) TransferPriority Placement Program, DoD Military Spouse Preference (MSP) EligibleReinstatementVeterans Employment Opportunity Act (VEOA) of 1998 In order to qualify, you must meet the education and experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. Basic Requirement for the Architecture, 0808 series: A. Degree: Bachelor's degree (or higher degree) in architecture or in a related field that included 60 semester hours of course work in architecture or related disciplines of which at least (1) 30 semester hours were in architectural design, and (2) 6 semester hours were in each of the following: structural technology, properties of materials and methods of construction, and environmental control systems.
OR
B. Combination of Education and Experience: College-level education, training, and/or technical experience that furnished (1) a thorough knowledge of the arts and sciences underlying professional architecture, and (2) a good understanding, both theoretical and practical, of the architectural principles, methods, and techniques and their applications to the design and construction or improvement of buildings. The adequacy of such background must be demonstrated by at least one of the following: (1) Related Curriculum - Degree in architectural engineering provided the completed course work in architectural engineering provided knowledge, skills, and abilities substantially equivalent to those provided in the courses specified in statement A above, or (2) Experience: 1 year of experience in an architect's office or in architectural work for each year short of graduation from a program of study in architecture. In the absence of any college courses, 5 years of such experience is required. This experience must have demonstrated that you have acquired a thorough knowledge of the fundamental principles and theories of professional architecture. Basic Requirement for the Civil Engineering, 0810 Mechanical Engineering, 0830 and Electrical Engineering, 0850 Series: Please refer to the General Schedule Qualification Standards Basic Requirements for All Professional Engineering Positions Series for education requirements. (NOTE: Applicants MUST submit/upload a copy of the transcripts with the application package. For application purposes, unofficial transcripts are acceptable.) In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below: Specialized Experience Required: GS-11:
One year of specialized experience which includes meeting TWO OF THE THREE following: 1) Assist in negotiating construction costs with stakeholders such as, architects, engineers, and contractors ;2) prepare architect/engineering construction cost estimates; and 3) review design specifications/plans to recommend corrections or changes. This definition of specialized experience is typical of work performed at the next lower grade/level position in the federal service (GS-09) or equivalent level.
OR Education: Ph.D. or equivalent doctoral degree or 3 full years of progressively higher level graduate education leading to such a degree in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: Engineering or Architecture.
OR
Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) beyond the second year (total graduate semester hours minus 36) by 18. Add the two percentages. GS-12:
One year of specialized experience which includes meeting THREE OF THE FOUR FOLLOWING: 1) Prepare architect/engineering construction cost estimates; 2) review design specifications/plans to recommend corrections or changes; 3) negotiate with contractors on scopes of work and cost estimates for projects; and 4) provide cost analysis during both the pre-design and construction phases of military and/or civil works projects. This definition of specialized experience is typical of work performed at the next lower grade/level position in the federal service (GS-11) or equivalent grade level. ""Some federal jobs allow you to substitute your education for the required experience in order to qualify. For this job, you must meet the qualification requirement using experience alone--no substitution of education for experience is permitted"". You will be evaluated on the basis of your level of competency in the following areas:
Contracting/ProcurementCost Estimation and AnalysisLeadershipOral CommunicationPlanning and Evaluating Time in Grade Requirement: Applicants who have held a General Schedule (GS) position within the last 52 weeks must have 52 weeks of Federal service at the next lower grade or equivalent (GS). GS-11: 52 weeks at the GS-09 grade level
GS-12: 52 weeks at the GS-11 grade level"
17,SUPERVISORY INTERDISCIPLINARY ENGINEER,"Corpus Christi, Texas",119227.0,91711.0,"Your resume must demonstrate at least one year of specialized experience at or equivalent to the GS-12 grade level or pay band in the Federal service or equivalent experience in the private or public sector. Specialized experience must demonstrate the following: 1) Conducting and directing various engineering studies, investigations, and evaluations of the utilities systems to determine capabilities and deficiencies; 2) Performing preliminary engineering analysis on large and complicated projects; 3) Evaluating and monitoring short- and long-range planning and projects involving alterations, improvements, expansion, maintenance, and repair of facilities and utilities system; 4) Making decisions on non-routine, costly, or controversial training needs and training requests related to the employees of the unit; 5) Communicating both orally and in writing on a professional level. Additional qualification information can be found from the following Office of Personnel Management website:
https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/#url=GS-PROF AND https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/0800/files/all-professional-engineering-positions-0800.pdf Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. Applicants must be a fully qualified, licensed Professional Engineer (PE) with a degree in Electrical, Mechanical, Civil, or Industrial Engineering or other directly related engineering degree from an accredited engineering college or university."
18,Environmental Engineer/Environmental Scientist/Life Scientist,"Denver, Colorado",130039.0,100027.0,"You need a degree or combination of education and experience as described below to qualify for this position.In addition to the educational requirements, we are looking for at least one year of specialized experience related to this position as described below:To qualify for the GS-13 level, you need to have at least one year of full-time experience equivalent to the GS-12 level defined as experience conducting site inspections under a national environmental law; experience writing inspection reports that identify specific violations of any of these environmental laws; experience providing technical support and advice on environmental compliance status of regulated entities.
Your answers to the online assessment will be used to evaluate your competencies in the following areas: Knowledge of federal, state, and/or local environmental statutes, regulations and programs.
Knowledge of environmental engineering or scientific concepts and practices.
Ability to work collaboratively with other in a team environment, including the ability to resolve issues.
Ability to communicate effectively in writing.
Ability to communicate clearly an concisely through presentation materials
Ability to write effectively in order to present facts in an objective manner. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.
If you have part-time work experience, read this: EPA Announcement Policies and Procedures."
19,Supervisory Interdisciplinary,"Kansas City, Missouri",141573.0,108904.0,"Who May Apply: Only applicants who meet one of the employment authority categories below are eligible to apply for this job. You will be asked to identify which category or categories you meet, and to provide documents which prove you meet the category or categories you selected. See Proof of Eligibility for an extensive list of document requirements for all employment authorities. Current Department of Army Civilian EmployeesCurrent Permanent Department of Defense (DOD) Civilian Employee (non-Army)Interagency Career Transition Assistance PlanLand Management Workforce Flexibility ActPriority Placement Program, DoD Military Spouse Preference (MSP) EligibleVeterans Employment Opportunity Act (VEOA) of 1998 In order to qualify, you must meet the education and/or experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. Basic Requirement for Supervisory Interdisciplinary, GS-XXXX-14 (Supervisory Engineer) (Supervisory Civil Engineer) (Supervisory Electrical Engineer) (Supervisory Mechanical Engineer): A. Degree: Bachelor's degree (or higher degree) in engineering. To be acceptable, the program must: (1) lead to a bachelor's degree (or higher degree) in a school of engineering with at least one program accredited by the Accreditation Board for Engineering and Technology (ABET); OR (2) include differential and integral calculus and courses (more advanced than first-year physics and chemistry) in five of the following seven areas of engineering science or physics: (a) statics, dynamics; (b) strength of materials (stress-strain relationships); (c) fluid mechanics, hydraulics; (d) thermodynamics; (e) electrical fields and circuits; (f) nature and properties of materials (relating particle and aggregate structure to properties); and (g) any other comparable area of fundamental engineering science or physics, such as optics, heat transfer, soil mechanics, or electronics. OR B. Combination of Education and Experience: College-level education, training, and/or technical experience that furnished (1) a thorough knowledge of the physical and mathematical sciences underlying engineering, and (2) a good understanding, both theoretical and practical, of the engineering sciences and techniques and their applications to one of the branches of engineering. The adequacy of such background must be demonstrated by one of the following: 1. Professional registration or licensure - Current registration as an Engineer Intern (EI), Engineer in Training (EIT), or licensure as a Professional Engineer (PE) by any State, the District of Columbia, Guam, or Puerto Rico. Absent other means of qualifying under this standard, those applicants who achieved such registration by means other than written test (e.g., State grandfather or eminence provisions) are eligible only for positions that are within or closely related to the specialty field of their registration. For example, an applicant who attains registration through a State Board's eminence provision as a manufacturing engineer typically would be rated eligible only for manufacturing engineering positions. 2. Written Test - Evidence of having successfully passed the Fundamentals of Engineering (FE) examination, or any other written test required for professional registration, by an engineering licensure board in the various States, the District of Columbia, Guam, or Puerto Rico. 3. Specified academic courses - Successful completion of at least 60 semester hours of courses in the physical, mathematical, and engineering sciences and that included the courses specified in A above. The courses must be fully acceptable toward meeting the requirements of an engineering program. 4. Related curriculum - Successful completion of a curriculum leading to a bachelor's degree in an appropriate scientific field, e.g., engineering technology, physics, chemistry, architecture, computer science, mathematics, hydrology, or geology, may be accepted in lieu of a degree in engineering, provided the applicant has had at least 1 year of professional engineering experience acquired under professional engineering supervision and guidance. Ordinarily there should be either an established plan of intensive training to develop professional engineering competence, or several years of prior professional engineering-type experience, e.g., in interdisciplinary positions. In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below: Basic Requirement for Supervisory Interdisciplinary, GS-XXXX-14 (Supervisory Architecture) at the GS-14: A. Degree: Bachelor's degree (or higher degree) in architecture or in a related field that included 60 semester hours of course work in architecture or related disciplines of which at least (1) 30 semester hours were in architectural design, and (2) 6 semester hours were in each of the following: structural technology, properties of materials and methods of construction, and environmental control systems. OR B. Combination of Education and Experience: College-level education, training, and/or technical experience that furnished (1) a thorough knowledge of the arts and sciences underlying professional architecture, and (2) a good understanding, both theoretical and practical, of the architectural principles, methods, and techniques and their applications to the design and construction or improvement of buildings. The adequacy of such background must be demonstrated by at least one of the following: (1) Related Curriculum - Degree in architectural engineering provided the completed course work in architectural engineering provided knowledge, skills, and abilities substantially equivalent to those provided in the courses specified in statement A above, or (2) Experience: 1 year of experience in an architect's office or in architectural work for each year short of graduation from a program of study in architecture. In the absence of any college courses, 5 years of such experience is required. This experience must have demonstrated that you have acquired a thorough knowledge of the fundamental principles and theories of professional architecture. In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below: Specialized Experience: One year of specialized experience which includes (1) Preparation of cost engineering estimates and provides related services for the construction of complex projects. (2) Preparation of cost engineering estimates and related services. (3) Preparation of briefing packages or presentations and technical expertise for complex projects. This definition of specialized experience is typical of work performed at the next lower grade/level position in the federal service (GS13). You will be evaluated on the basis of your level of competency in the following areas:
Interpersonal SkillsLeadershipTechnical Competence Time in Grade Requirement: Applicants who have held a General Schedule (GS) position within the last 52 weeks must have 52 weeks of Federal service at the next lower grade or equivalent (GS-13)."
