,Indeed Snippet
22,"A Bind <b>Data</b> <b>Science</b> Engineer directs and participates as an active, hands-on member a team of <b>Data</b> <b>Scientists</b> to design, develop, and implement end-to-end cloud…"
23,"The <b>Data</b> <b>Scientist</b> II provides technical leadership across the overall Analytics function which may have an enterprise mandate. To learn more, visit www.td.com."
24,"Research approaches in <b>data</b> <b>science</b> that address problems outlined by the <b>data</b> <b>science</b> lead. You will interact with <b>data</b> engineers and <b>data</b> analysts, eliciting…"
25,Assess the effectiveness and accuracy of new <b>data</b> sources and <b>data</b>. Gathering techniques.Develop custom <b>data</b> models and algorithms to apply to <b>data</b> sets.
26,"Reporting to the Senior Director of Annual Giving, the <b>Data</b> Analyst will support the team with a variety of analysis needs and will establish, monitor and…"
27,Curate and normalize clinically-relevant <b>data</b> for consumption by <b>data</b> <b>scientists</b> and research <b>scientists</b>. The position will involve transforming and importing…
28,"Manage, develop, organize, and execute analyses and <b>data</b> reports from MHP’s <b>data</b> infrastructure (EHR, evaluation <b>data</b> systems, etc.)."
29,"Experience with <b>data</b> aggregation, <b>data</b> visualization, business intelligence and <b>data</b> analytics a plus. Bachelors of <b>Science</b> in Computer <b>Science</b> or relevant…"
30,"JDSAT is an Operations Research and <b>Data</b> <b>Sciences</b> firm currently seeking talented analysts in fields of Operations Research, <b>Data</b> <b>Science</b>, Engineering, Computer…"
31,"Perform cyclical RAPS <b>data</b> submission reconciliation to ensure maximum <b>data</b> throughout. Perform <b>data</b> mining of claims, encounters and RAPS/EDS <b>data</b> to identify…"
32,"Strong expertise in <b>data</b>, project and time management; A bachelor's degree in Computer <b>Science</b>, Information Systems, or an equivalent field of study is…"
33,"A demonstrable practical interest in <b>data</b> <b>science</b> (Kaggle, GitHub etc). The Equity <b>Data</b> <b>Science</b> team is a recently formed function within Global Equities."
34,Convert all <b>data</b> sources to interface/link with Microsoft Access and/or Excel. Identify possible <b>data</b> sources to integrate using current and past legacy systems…
35,"Ensure <b>data</b> quality, and <b>data</b> throughout all the <b>data</b> lake Tiers. We're looking for someone with strong knowledge of integration tools, <b>data</b> warehousing, data…"
36,"Working knowledge of <b>data</b> architectures, <b>data</b> normalization and <b>data</b> classification. Knowledge of Analytics, BI, <b>Data</b> <b>Science</b> is a plus."
37,"Bachelor’s Degree in computer <b>science</b>, computer <b>science</b> engineering, or related experience required; Write components in Big <b>Data</b> with Spark, Hive, HBASE, Data…"
38,"Performs routine audits to ensure quality and completeness of the <b>data</b> submitted, identifies missing <b>data</b> and corrects deficiencies."
39,"<b>Data</b> Analyst IV Performs business and <b>data</b> requirements gathering and <b>data</b> analysis tasks. 10+ years in <b>data</b> analysis. PL/SQL, SQL, SAS, R, Python, Java."
40,"CCB- Risk-Fraud- Machine Learning <b>Data</b> <b>Scientist</b> Modeler-VP. Proven ability to coordinate the work of a <b>data</b> <b>science</b> team with their technology, business and…"
41,Three + years of previous 3rd party application support experience including use of <b>data</b> reporting / <b>data</b> visualization tools. Perform other duties as required.
42,"Recommend and develop environment for <b>data</b> <b>scientists</b>. Provide thought leadership role in the areas of advanced <b>data</b> techniques, including <b>data</b> modeling, data…"
43,"Recommend and develop environment for <b>data</b> <b>scientists</b>. Provide thought leadership role in the areas of advanced <b>data</b> techniques, including <b>data</b> modeling, data…"
44,"This person will build new business intelligence solutions as an owner end-to-end, at the same time, collaborate with <b>data</b> engineers and <b>data</b> <b>scientists</b> to…"
45,"Business analysis, <b>data</b> analysis, <b>data</b> modeling, <b>data</b> development, <b>data</b> quality and <b>data</b> stewardship. Deep knowledge of <b>Data</b> Governance, <b>data</b> management and…"
46,"7 years of professional experience in <b>data</b> management, <b>data</b> governance, <b>data</b> management frameworks, metadata/master <b>data</b> management, <b>data</b> quality, policy…"
47,"<b>Data</b> Analyst will lead efforts to build a robust <b>data</b> strategy, and will maintain and improve <b>data</b> management activities across programs."
48,"Advanced degree in <b>data</b> <b>science</b>, marketing analytics or business analytics is preferred. Thought partner responsible for integrating external aggregated…"
49,"IDEAS, Insights <b>Data</b> Engineering And <b>Science</b>, is our analytics team of <b>data</b> <b>scientists</b>, BIEs, business analysts and <b>data</b> engineers."
50,"Experience in Batch and Streaming <b>data</b> pipelines. Knowledge of large scale, <b>data</b> processing, de duplication, scoring, validations. Don’t live life without it."
51,Experience with large-scale <b>data</b> analytics and <b>data</b> warehousing. Masters in Computer <b>Science</b> or Engineering. Masters or PhD in Computer <b>Science</b>.
52,"The candidate will work with Alexa Machine Learning <b>scientists</b> to identify, extract, transform Alexa <b>data</b> from internal tools and pipe this <b>data</b> for Ground…"
53,Design standard <b>data</b> service and APIs across complex Commercial Bank <b>data</b> landscape. Define low latency solutions to support real-time <b>data</b> integration with…
54,"<b>Data</b> enrichment, aggregation, and replication practices. SQL, navigating cardinality and <b>data</b> structures. MPP Database Solutions, <b>Data</b> Warehousing Technologies."
55,"Interest in machine learning and <b>data</b> <b>science</b>, or any previous experience in this area. Project Manager and <b>Data</b> Analyst Lead - Funds Technology."
56,"As a <b>Data</b> <b>Scientist</b> at kWh Analytics you’ll have the opportunity to work at the forefront of innovation in an emerging industry, with an experienced, mission…"
57,-------------------------------------------- Brent Sleeper -------------------------------------------…
58,"10 years of experience leading and delivering business solutions that rely on <b>data</b> <b>science</b>, <b>data</b> warehousing, or Business Intelligence. Must be a US citizen."
59,"Advanced degree in <b>data</b> <b>science</b>, mathematics, statistics, computer <b>science</b>, physical <b>science</b> or engineering. Database, Scientific, Engineer, <b>Scientist</b>, Security…"
60,Proven experience as a <b>Data</b> <b>Scientist</b> or <b>Data</b> Analyst. Present information using <b>data</b> visualization techniques. Combine models through ensemble modeling.
61,We're seeking an experienced <b>Data</b> <b>Scientist</b> to join our team. Preferred experience using statistical software packages (such as R or SAS) and <b>data</b> visualization…
62,"Gleaning, cleaning, and preparing <b>data</b> sets; Process confidential <b>data</b> and information according to guidelines; For an overview of our pipeline, go to this."
63,"Sync across functional teams, ensuring <b>data</b> <b>science</b> is supporting mission-focused analytic teams and work with rapid prototyping teams on site to deploy new…"
64,Continuous learning and tailored on-the-job training in <b>Data</b> <b>Science</b>. Your internship with the <b>Data</b> <b>Science</b> team will be a deep dive into real-world <b>data</b> and…
65,Develop custom <b>data</b> models and algorithms to apply to <b>data</b> sets. Experience using Python to manipulate <b>data</b> and draw insights from large <b>data</b> sets.
66,"Your impact as a <b>Data</b> <b>Scientist</b>. Aon is looking for a <b>Data</b> <b>Scientist</b>. Contribute to <b>data</b> mining architectures, modeling standards, reporting, and <b>data</b> analysis…"
67,"Desire to collaborate with other <b>data</b> <b>scientists</b>, <b>data</b> analysts, and business partners. Experience fully integrating <b>data</b> <b>science</b> solutions into the business…"
68,Demonstrated on-the-job experience in designing (in Python and/or Java) and developing web-based platforms and services to perform <b>data</b> analytics on large data…
69,"Direct and proven working experience with <b>data</b> management concepts and activities including an understanding of industry best practices for <b>Data</b> Sourcing, Key…"
70,"We are looking for a <b>Data</b> Scientist/Senior <b>Data</b> <b>Scientist</b>, Machine Learning to join our Global Insights team. Experience mentoring junior <b>scientists</b> or Ph.D."
71,"Create and manage the NCBI schedule of code-a-thon events on topics such as genomics, bioinformatics, and <b>data</b> <b>science</b>."
72,"Perform network <b>data</b> analytics and <b>data</b> visualization of Netwo rk <b>data</b> to produce, dashboards and storyboards."
73,"Research approaches in <b>data</b> <b>science</b> that address problems outlined by the <b>data</b> <b>science</b> lead. You will interact with <b>data</b> engineers and <b>data</b> analysts, eliciting…"
74,Work within Wayfair’s big <b>data</b> technology infrastructure to dive deep into <b>data</b> sets and develop innovative new capabilities.
75,Enjoys <b>data</b> visualization and storytelling. Applying quantitative techniques to uncover latent patterns in the <b>data</b>. If you describe yourself as someone who:
76,Works with <b>data</b> <b>scientists</b> to create ways to track performance against contracts and measure value created by sourcing team.
77,"Lead <b>Data</b> <b>Scientist</b> Responsibilities include managing the <b>data</b> <b>science</b> team, planning projects and building analytics models. Ensure <b>data</b> quality and integrity."
78,"Senior <b>Data</b> <b>Scientist</b> - Job Number: As a Senior <b>Data</b> <b>Scientist</b>, you will be responsible for creating statement of work documents, <b>data</b> identification, data…"
79,"Join us as a Summer Intern as an Engineer / <b>Data</b> <b>Scientist</b> at our Cambridge office. Perform exploratory <b>data</b> analyses, static and dynamic <b>data</b> visualizations to…"
80,"Analyzes existing <b>data</b> models for applicability to ODS, <b>Data</b> Warehouse and <b>Data</b> Marts schemas. Provides expertise in <b>data</b> modeling, SQL reporting and data…"
81,"Bachelor’s degree in computer information systems, <b>data</b> management, <b>data</b> analytics, or related field. Actively participates as team member in the use of data…"
82,7+ years proven experience in <b>Data</b> <b>Science</b>. Graduate degree in <b>Data</b> <b>Science</b> or other quantitative field is preferred. Combine models through ensemble modeling.
83,Expert knowledge of <b>Data</b> Governance and Master <b>Data</b> Management concepts. Act as a <b>data</b> steward for the business's <b>data</b> platforms and developing a canonical data…
84,"Bachelor's Degree required, preferably in Math, Social <b>Science</b>, Healthcare, <b>Science</b> or related area. Creates and updates systems for quarterly distribution of…"
85,Plans <b>data</b> integration process by developing common definitions of sourced <b>data</b>; Improves <b>data</b> integration by designing and evaluating new <b>data</b> interchange…
86,"Strong understanding of common BI <b>data</b> functions, including <b>data</b> integration, <b>data</b> modeling, <b>data</b> mining, <b>data</b> visualization, and <b>data</b> analytics."
87,"Must have a strong foundation in machine learning, <b>data</b> <b>science</b> and/or clinical decision support. Applying natural language processing applications to extract…"
88,"10+ years’ experience in <b>data</b> management. Ensures all <b>data</b> management operations are conducted to SOPs; Bachelor degree or higher in life <b>science</b>, nursing or…"
89,"You’ll be part of a collaborative team, which includes the <b>data</b> <b>science</b>, business intelligence, and <b>data</b> engineering teams. Think you might be qualified?"
90,"<b>Data</b> visualization tools such as Tableau, Looker, etc. Bachelor's or Master's degree in <b>Science</b>, Mathematics, Economics, Business, Information Technology or…"
91,"<b>Data</b> Analyst, <b>Data</b> Analytics & Audience <b>Science</b>. The <b>Data</b> Analytics and Audience <b>Science</b> team is tasked at creating the next generation <b>data</b> analytics and…"
92,"Demonstrate and share your passion and understanding of <b>data</b> <b>science</b>. A degree in Statistics, Computer <b>Science</b>, Physical <b>Sciences</b> or a related technical field."
93,"Proven work experience as a <b>Data</b> Architect, <b>Data</b> <b>Scientist</b>, <b>Data</b> Analyst or similar role. Coordinate with the <b>Data</b> <b>Science</b> department to identify future needs…"
94,"Utilizes corporate <b>data</b> sources for new business information and better sources of <b>data</b> feeds. <b>Data</b> Extraction, Transformation for Model Deployment."
95,"XML, JSON, binary-based <b>data</b> formatting. Develop standards and profiles of standards to encode and organize <b>data</b> into containers or <b>data</b> streams to allow both…"
96,"The North America Retail Technology & Analytics (NARTA) team is focused on leveraging highly quantitative business analytics, cutting-edge tools and data…"
97,"Collaborates with enterprise <b>data</b> warehouse, <b>data</b> governance, clinical informatics and business teams on any issues relating to <b>data</b> quality, architecture or…"
98,"The ideal candidate will have proven expertise in <b>data</b> analysis, <b>data</b> modeling and <b>data</b> engineering with significant experience advocating solutions in cloud…"
99,"Identify jobs to be done (business use cases), conduct <b>data</b> inventory, contrast existing <b>data</b> streams with key knowledge gaps and build <b>Data</b> Strategy Roadmap to…"
100,Previous <b>data</b> entry experience is required. Review select cases for accuracy of <b>data</b> entry. Monitor errors and metrics for cases sent to Softfile for ODE …
101,"To create and review project specific documentation for assigned trials, i.e. the <b>Data</b> Management Plan and the <b>Data</b> Management File."
102,"We are recruiting for an exciting opportunity of Manager, Medical Device Epidemiology, Real World <b>Data</b> <b>Sciences</b> (EPI-RWDS)."
103,"Bachelor’s degree in business, management information systems, computer <b>science</b>, life <b>sciences</b> or equivalent. Must have 6+ years of pharma / clinical research /…"
104,Act as intermediary between services and departments while overseeing <b>data</b> and specimen management; It is the only campus in the 10-campus UC system dedicated…
105,"Preparing <b>data</b> for analytical and /or operational uses, including tracking <b>data</b> refresh status and understanding <b>data</b> quality. Minimum of 3 years of experience."
106,Demonstrated on-the-job experience in designing (in Python and/or Java) and developing web-based platforms and services to perform <b>data</b> analytics on large data…
107,"Experience querying <b>data</b>, <b>data</b> manipulation and report generation. We are seeking an experienced HR <b>Data</b> Analyst to join our dynamic team!"
108,"R, <b>Data</b> Warehousing, and BPR is a plus. Collections MIS <b>data</b> analysts typically work full-time in an office environment. Data/text mining, decision trees, etc."
109,"Demonstrated coursework toward a degree in Computer <b>Science</b>, <b>Data</b> Analytics, Math, or Finance. As an Intern you will assist with the ongoing delivery of data…"
110,Own an entire key area of <b>data</b> within a client-specific product from <b>data</b> generation to consumption/presentation. Be an expert on large-scale <b>data</b> engineering.
111,"Education Desired Bachelor of Computer <b>Science</b> - Computer <b>Sciences</b>, Bachelor of Information Systems. The Prophet <b>Data</b> Management Platform enables businesses to…"
112,"Biogen is continuing to build out a DHT&DS group to explore Big <b>Data</b> technology, <b>Data</b> <b>Science</b> approaches, Information <b>Science</b> techniques & Software Engineering…"
113,"Consults with Legal, <b>Data</b> Protection and <b>Data</b> Privacy teams and advise/guide stakeholders on privacy inquiries, questions, incidents."
114,"Familiarity with <b>Data</b> maturity concepts such as ETL, <b>data</b> structures, <b>data</b> management and designing algorithms for high volumes/velocity of <b>data</b> and complex…"
115,"The candidate will assist with large sets of <b>data</b> from Operational <b>data</b> sources on and off premises. You will assist with the design, development, testing,…"
116,"Combine and transform <b>data</b> into usable sets by other individuals in the organization, for example, <b>data</b> <b>scientists</b> and business users."
117,"Demonstrated ability to follow Clinical <b>Data</b> Management SOPs. Bachelor of <b>Science</b> degree preferred, preferably in health-related field and/or computer;"
118,"Knowledge about <b>data</b> replication, <b>data</b> masking, and performance factors, etc. Experience in designing <b>data</b> lake/warehouse for <b>data</b> integration from enterprise…"
119,"Columnar and NoSQL, predictive analytics, <b>data</b> visualization, and unstructured <b>data</b>. Maintain inventory of enterprise <b>data</b> architecture blueprints, CMDB…"
120,"The Geospatial <b>Data</b> Programmer Student Intern is expected to work closely alongside electrical engineers, software developers and <b>scientists</b>, to assist with…"
121,"6+ years of experience in <b>Data</b> <b>Science</b>, Credit Risk, Fraud Risk, Marketing Analytics, Optimization, Operations Analytics, Modeling or related field."
122,"I am passionate about <b>data</b> & analytics, and using <b>data</b> insights to drive smarter decision-making. Experience with <b>data</b> migration, profiling, cleansing, and…"
123,"Strong organization, time management and <b>data</b> management skills. In coordination with the Project Coordinator for Foundation Relations and Foundation Relations…"
124,"Work with product managers, <b>data</b> <b>scientists</b>, and <b>data</b> analysts to design and build <b>data</b> driven product features. Conduct design and code reviews."
125,"Experience with master <b>data</b> management and <b>data</b> governance. Experience using <b>data</b> modelling tools, understanding of relational and dimensional <b>data</b> modelling…"
126,"Through world class <b>science</b> and innovative crop solutions, our 28,000 people in over 90 countries are working to transform how crops are grown."
127,"To create and review project specific documentation for assigned trials, i.e. the <b>Data</b> Management Plan and the <b>Data</b> Management File."
128,"Work with <b>Data</b> <b>Science</b> team to facilitate feature engineering, feeding into the AI modules that generate scores and predictions using enriched <b>data</b>."
129,<b>Data</b> analysis and querying using SQL or other <b>data</b> base programs to obtain actionable <b>data</b>. <b>Data</b> mining and ad hoc analyses to investigate operational issues.
130,This involves conducting and overseeing <b>data</b> analysis using external and internal large <b>data</b> sets; Requires a master’s degree with course work in statistical…
131,"Build the infrastructure required for optimal extraction, transformation, and loading of <b>data</b> from a wide variety of <b>data</b> sources using big <b>data</b> technologies."
132,"<b>Data</b> Management Plan, <b>Data</b> Review Plan, CRF Completion Guidelines. Senior Lead Clinical <b>Data</b> Manager. Serves as <b>Data</b> Operations mentor."
133,"Our <b>data</b> <b>science</b> and machine learning efforts are interdisciplinary – incorporating understanding and methodology from engineering, computer <b>science</b>, statistics…"
134,"I am passionate about <b>data</b> & analytics, and using <b>data</b> insights to drive smarter decision-making. Experience in <b>data</b> modeling using a tool such as Erwin, Oracle…"
135,"Experience with <b>data</b> integrations, including <b>data</b> products such as <b>Data</b> Management Platforms or <b>Data</b> Matching Partners (e.g.:"
136,Perform <b>data</b> analysis and <b>data</b> mining. <b>Data</b> visualization skills (nice to have). Proven Expertise in Analyzing Structured and Unstructured <b>Data</b>.
137,"Masters Degree in Statistics, Economics, Mathematics, Computer <b>Science</b>, <b>Data</b> <b>Science</b>, or quantitative discipline. Sitting for extended periods of time."
138,"As a <b>data</b> <b>science</b> analyst, you will be an integral member of larger teams working on client engagements and will be mentored and trained by senior team members…"
139,Minimum 8+ years of experience with 5+ years of experience with SAS Modeling and Big <b>Data</b> and Machine Learning Models.
140,\*- Bachelor’s degree in life <b>sciences</b> or technology field required. Experience with Big <b>Data</b> Analytics and knowledge of AI.
141,Bachelor’s or Master’s degree in <b>Data</b> <b>Science</b> or Artificial Intelligence & Machine Learning (strongly preferred); Good verbal and written communication skills.
142,"10 years of experience leading and delivering business solutions that rely on <b>data</b> <b>science</b>, <b>data</b> warehousing, or Business Intelligence. Must be a US citizen."
143,"Manipulate large <b>data</b> sets, integrate diverse <b>data</b> sources, <b>data</b> types and <b>data</b> structures into solutions. Experience conducting advanced feature engineering…"
144,"Bachelor's or higher degree in <b>Data</b> <b>Science</b>, Statistics, Mathematics, Business Analytics or other analytical discipline. Fluency with SQL or SQL-like tools."
145,"An Applied <b>Data</b> <b>Scientist</b> is responsible for the end-to-end execution of client engagements utilizing <b>data</b> <b>science</b>, which includes: What we are looking for."
146,"10 years of experience leading and delivering business solutions that rely on <b>data</b> <b>science</b>, <b>data</b> warehousing, or Business Intelligence. Must be a US citizen."
147,You're a career-changer who wants to gain skills and experience using <b>data</b> for good. You'll learn to confidently investigate and answer questions with <b>data</b> as…
148,"Collaborate with <b>Data</b> <b>Scientists</b> to expand upon a broad array of <b>data</b> <b>science</b> models; As a junior <b>data</b> <b>scientist</b>, you will collaborate with a talented team of…"
149,"Work with different <b>data</b> <b>scientists</b>, model <b>scientists</b>, engineers and product managers on how to solve <b>data</b> and business problems in a scalable way."
150,"Experience in Azure <b>Data</b> Factory, <b>Data</b> Bricks, <b>Data</b> Lake. Knowledge of modern <b>data</b> warehousing concepts, <b>data</b> modelling and <b>data</b> management."
151,"Bachelor’s degree in biomedical informatics, public health, <b>data</b> <b>science</b>, life <b>sciences</b> or related field required. Scientific and Real-World <b>Data</b> Asset Access."
152,"Experience with common <b>data</b> <b>science</b> libraries (e.g. The <b>data</b> <b>scientist</b> collaborates cross-functionally with business and IT partners, developing <b>data</b> products…"
153,"The Global Renewals team is looking for a Renewals <b>Data</b> <b>Scientist</b> to join us in Raleigh, NC. Basic experience with <b>data</b> pipeline automation."
154,"Masters or PhD in Computer <b>Science</b>, <b>Data</b> <b>Science</b>, Statistics, Applied Mathematics, or a related field. Proficiency in <b>data</b> analysis, <b>data</b> visualization, model…"
155,The Senior <b>Data</b> <b>Scientist</b> will be working within the strategy and analytics division of our life <b>sciences</b> client.
156,"Deep analytical skills with a proficiency in theory and application of computational <b>science</b>, applied mathematics, statistics, artificial intelligence, data…"
157,"Dynamically engaging with developers, scientific researchers, <b>data</b> <b>scientists</b>, IT managers and senior leaders is a meaningful part of the <b>Data</b> <b>Scientist</b> role,…"
158,"Lead and conduct <b>data</b> cleaning activities for vendor <b>data</b> reconciliation. Proficiency with <b>data</b> sets and Excel, understanding of <b>data</b> relationships and metadata…"
159,"In the <b>data</b> analysis role, the intern would work with the engineering teams in developing a <b>data</b> portal to collect, process, and analyze <b>data</b> collected during…"
160,"Perform <b>data</b> collection for <b>Data</b> <b>Science</b> operations including Machine Learning. Experience using <b>Data</b> <b>Science</b> languages (R, Python) to manipulate <b>data</b> and draw…"
161,"A Masters or PhD in atmospheric <b>sciences</b>, environmental <b>sciences</b>, statistics, mathematics, or any other field with corresponding coursework and application in…"
162,The <b>Data</b> Analyst will work with the Manager to analyze and interpret enrollment <b>data</b>. Strong interest and aptitude in <b>data</b> analysis.
163,"The team consists of <b>data</b> <b>scientists</b>, advanced analytics modelers, and <b>data</b> engineers, working closely with other <b>Data</b> & Analytics (DNA) teams, as well as…"
164,"Independently oversee laboratory <b>data</b> management procedures including authoring <b>data</b> transfer plans, <b>data</b> review plans and overseeing the transfer, processing…"
165,"Pursuing Bachelor's degree in Statistics, Economics, Mathematics, Computer <b>Science</b>, <b>Data</b> <b>Science</b>, or quantitative discipline."
166,"Must have an understanding of complex <b>data</b> systems, claims <b>data</b>, and clinical <b>data</b> sets used in quality and cost reporting. The Primary Role of the Position*."
167,"Integration of other <b>data</b> sources (e.g., CSV, DBF, XLS files, Census <b>data</b>), and. Consults with external agencies and <b>data</b> providers for acquisition and updating…"
168,"Working with large databases, <b>data</b> verification, and <b>data</b> ma: Experience in public health (epidemiology, biostatistics), population health, social determinants…"
169,"Requires MA/MS in Statistics, Computer <b>Science</b>, Mathematics, <b>Data</b> <b>Science</b>, Machine Learning, Econometrics, Physics, Biostatistics or related Quantitative…"
170,We are looking for a <b>Data</b> Analyst to help us put to best use the Commonwealth’s vast treasure trove of <b>data</b>. The <b>Data</b> team is a vital piece of EOTSS.
171,"<b>Data</b> modeler, Oracle DB, SQL, <b>Data</b> architect The <b>data</b> modeler designs, implements, and documents <b>data</b> architecture and <b>data</b> modeling solutions, which include…"
172,Two (2) to five (5) years business reporting and/or <b>data</b> analysis work experience with SQL server <b>data</b> administration; Proficiency in Microsoft SQL server.
173,"The <b>data</b> analyst reports to the Senior Director of Dataand Evidence <b>Science</b> and is responsible for <b>data</b> collection, cleaning, analyses, visualization, and…"
174,"公司(E-verify企业)位于美国硅谷San Jose。开发了具有硅谷人工智能课程(Big <b>Data</b>, Blockchain, Deep Learning)、硅谷自营销课程(Self Marketing),同时提供企业级IT服务以及国际游学服务。. Who Are We Looking For?"
175,"Microsoft <b>data</b> tools, concepts and technologies. Assists division staff with required and ongoing division projects through research, writing, <b>data</b> analysis,…"
176,"Experience working in a Government mission <b>Data</b> Exploitation environment (e.g., acquiring <b>data</b>, storing <b>data</b>, processing <b>data</b>, analyzing <b>data</b>, visualizing data,…"
177,Serves as an independent reporting statistician on <b>data</b> monitoring committees. You enjoy working with <b>data</b> and digging deeper to uncover answers.
178,"Experience with <b>data</b> preparation, rationalization, and processing on big <b>data</b>. Understand <b>data</b> structure, <b>data</b> interfaces and how <b>data</b> flows and transforms from…"
179,Contribute to artificial intelligence/machine learning (AI/ML) and <b>data</b> modeling projects. Analyze <b>data</b> loaded via automated processes for errors and anomalies.
180,"<b>Data</b> <b>Scientist</b> - Digital Sales Planning. Proven track record of using <b>data</b> to drive business decisions. You will extract, analyze, synthesize and interpret data…"
181,"Maintain accuracy of <b>data</b> through various methods. Perform routine and ad hoc <b>data</b> maintenance. Prepare ad hoc <b>data</b> extracts, reports, and analysis."
182,Analyses of large amounts of <b>data</b> in <b>data</b> files and SQL tables to identify <b>data</b> patterns and issues. Understanding of claims <b>data</b> extraction preferred.
183,"Support laboratory <b>data</b> management procedures including authoring and reviewing <b>data</b> transfer plans, overseeing <b>data</b> transfers, processing and storage of <b>data</b>."
184,"The <b>Data</b> Governance Analyst role will focus on privacy, <b>data</b> security, customer <b>data</b> and risk management, ensuring <b>data</b> is efficiently utilized as an enterprise…"
185,"Collaborate with team members across <b>data</b> functions including <b>data</b> engineers, <b>data</b> <b>scientists</b> and analysts to deliver best-in-class solutions."
186,"Experience in <b>data</b> extraction, <b>data</b> manipulation, synthesis and creating presentations. Ability to manage multiple <b>data</b> sources and systems with logic to ensure…"
187,"Experience working in a Government mission <b>Data</b> Exploitation environment (e.g., acquiring <b>data</b>, storing <b>data</b>, processing <b>data</b>, analyzing <b>data</b>, visualizing data,…"
188,Implements procedures for providing graphical representation of <b>data</b> model and <b>data</b> dictionary reports to our internal and external users.
189,"Working Title CCSG <b>Data</b> Analyst. VCU’s Massey Cancer Center is seeking a <b>Data</b> Analyst to assist with the overall administration, development, and maintenance of…"
190,Compares <b>data</b> output to ensure <b>data</b> accuracy. Possesses a fundamental understanding of the domain's <b>data</b> and associated <b>data</b> models.
191,"Perform <b>data</b> collection for <b>Data</b> <b>Science</b> operations including Machine Learning. Experience using <b>Data</b> <b>Science</b> languages (R, Python) to manipulate <b>data</b> and draw…"
192,"Minimum Qualifications for the <b>Data</b> Analyst. Developmental Disabilities Resource Center (DDRC)of Lakewood, CO is seeking to hire a <b>Data</b> Analyst to collect,…"
193,"Master’s degree in business, social <b>science</b>, or behavioral <b>science</b> preferred. Experience extracting insights from social media <b>data</b> using <b>data</b> analysis…"
194,Responsible for researching and validating <b>data</b> in multiple <b>data</b> sources. The <b>Data</b> Analyst will gather <b>data</b> from various sources and interpret patters and…
